iter	RMSE
0	10903.7614
1	10107.06983
2	9472.32367
3	8886.981665
4	8333.86262
5	7943.907342
6	7551.47928
7	7179.562468
8	6879.69798
9	6601.951253
10	6344.327576
11	6151.616839
12	5969.954439
13	5803.407186
14	5675.701076
15	5568.966702
16	5464.455234
17	5385.310492
18	5311.987049
19	5246.238088
20	5195.757189
21	5151.410111
22	5114.765855
23	5071.7901
24	5033.344918
25	4998.881674
26	4968.355449
27	4941.202248
28	4931.886709
29	4913.421843
30	4893.715134
31	4876.798087
32	4867.57687
33	4855.253934
34	4844.943444
35	4833.661596
36	4823.107952
37	4813.092818
38	4804.661762
39	4797.340424
40	4791.427387
41	4783.604645
42	4777.261382
43	4769.953023
44	4760.06612
45	4754.353668
46	4751.27273
47	4745.265405
48	4739.787478
49	4738.023279
