iter	RMSE
0	11368.05048
1	11011.72031
2	10693.82661
3	10371.33872
4	10094.89242
5	9822.58108
6	9544.638103
7	9287.773212
8	9036.028269
9	8810.901172
10	8577.17123
11	8383.479818
12	8190.71747
13	8024.337082
14	7844.665321
15	7664.862728
16	7499.008865
17	7343.56911
18	7193.566039
19	7049.489722
20	6908.125774
21	6770.384299
22	6640.299944
23	6516.942766
24	6398.834021
25	6282.915969
26	6178.966776
27	6080.673183
28	5987.993907
29	5891.833286
30	5813.088384
31	5736.08907
32	5665.156222
33	5597.794121
34	5528.999774
35	5460.305849
36	5398.853508
37	5342.622596
38	5284.143193
39	5232.083226
40	5180.443643
41	5134.864925
42	5095.331645
43	5058.397739
44	5019.353432
45	4980.347473
46	4946.472578
47	4914.989435
48	4882.611804
49	4851.396601
50	4831.368903
51	4798.068044
52	4771.515431
53	4751.55915
54	4726.459599
55	4702.163624
56	4679.055629
57	4653.812686
58	4635.695302
59	4614.791284
60	4595.766153
61	4579.28046
62	4561.975588
63	4547.112362
64	4533.541529
65	4518.343624
66	4507.561344
67	4496.832496
68	4484.453904
69	4470.962001
70	4459.937454
71	4450.585261
72	4445.28257
73	4435.469715
74	4427.84769
75	4416.381241
76	4404.417269
77	4395.799152
78	4393.029823
79	4384.565376
80	4372.876342
81	4364.159462
82	4358.079994
83	4350.493789
84	4342.90636
85	4336.797393
86	4331.65679
87	4325.602642
88	4319.224182
89	4315.656014
90	4310.090245
91	4307.299491
92	4302.67446
93	4297.120832
94	4290.680556
95	4286.509199
96	4278.698581
97	4273.585556
98	4264.71519
99	4262.230709
100	4255.975874
101	4251.341654
102	4247.088111
103	4241.475636
104	4235.868499
105	4230.943381
106	4224.814557
107	4222.316604
108	4217.49125
109	4214.785085
110	4212.210398
111	4205.550508
112	4202.085987
113	4197.836921
114	4193.588268
115	4190.629714
116	4188.167904
117	4182.299056
118	4177.283463
119	4171.608682
120	4165.414537
121	4162.55632
122	4159.083544
123	4157.539261
124	4153.896363
125	4152.119321
126	4143.921138
127	4136.291297
128	4132.300904
129	4130.006526
130	4125.794899
131	4123.473728
132	4118.314308
133	4112.05235
134	4109.138671
135	4105.751475
136	4102.597868
137	4100.275555
138	4097.545908
139	4095.769232
140	4092.133696
141	4088.576974
142	4084.85581
143	4082.556704
144	4080.038935
145	4077.394673
146	4074.599588
147	4069.687809
148	4067.366705
149	4064.715327
150	4061.569776
151	4058.150237
152	4053.590812
153	4050.214182
154	4044.84947
155	4041.398571
156	4036.599882
157	4034.917023
158	4033.272415
159	4031.742584
160	4026.810999
161	4022.234043
162	4019.603241
163	4016.846455
164	4015.163861
165	4013.199033
166	4012.796071
167	4010.809516
168	4004.742356
169	4004.314245
170	4001.35142
171	3998.692398
172	3995.267469
173	3992.294558
174	3991.365338
175	3989.265989
176	3984.524654
177	3981.41882
178	3978.475139
179	3976.030962
180	3971.14319
181	3967.259125
182	3961.697546
183	3958.374136
184	3954.601745
185	3952.58516
186	3951.042341
187	3949.674714
188	3948.026955
189	3946.272592
190	3945.142878
191	3943.019095
192	3941.618639
193	3940.355373
194	3937.409461
195	3933.153463
196	3931.65338
197	3927.994018
198	3927.689218
199	3925.503339
200	3923.49966
201	3919.5579
202	3915.757022
203	3914.280792
204	3913.542542
205	3911.967865
206	3909.610945
207	3906.236723
208	3904.055982
209	3902.531968
210	3897.826915
211	3896.412102
212	3894.623554
213	3892.993991
214	3888.932064
215	3886.302892
216	3884.725729
217	3883.255452
218	3881.173117
219	3878.835265
