iter	Passed	Remaining
0	4	4832
1	5	2782
2	6	2102
3	6	1715
4	7	1467
5	7	1309
6	8	1198
7	8	1106
8	9	1037
9	9	958
10	10	917
11	10	897
12	11	881
13	12	865
14	12	834
15	13	815
16	13	794
17	14	777
18	14	759
19	14	730
20	15	718
21	15	706
22	16	699
23	17	692
24	17	684
25	18	674
26	18	666
27	18	657
28	19	649
29	19	637
30	20	630
31	20	626
32	21	621
33	21	616
34	22	615
35	22	610
36	23	608
37	23	604
38	24	600
39	24	597
40	25	593
41	25	589
42	26	586
43	26	584
44	27	581
45	27	577
46	28	575
47	28	573
48	29	571
49	29	569
50	30	561
51	30	558
52	31	556
53	31	554
54	32	553
55	32	553
56	33	549
57	33	547
58	33	541
59	34	540
60	34	537
61	35	536
62	35	535
63	36	534
64	37	533
65	37	534
66	38	529
67	38	529
68	39	528
69	39	527
70	40	525
71	40	523
72	40	518
73	41	516
74	41	513
75	42	512
76	42	512
77	43	511
78	43	506
79	43	505
80	44	505
81	45	504
82	45	503
83	46	502
84	46	502
85	47	501
86	47	500
87	48	499
88	48	498
89	48	494
90	49	493
91	50	493
92	50	493
93	51	491
94	51	490
95	52	489
96	52	488
97	53	488
98	53	488
99	54	486
100	54	488
101	55	490
102	56	489
103	56	489
104	57	488
105	57	487
106	58	487
107	59	488
108	59	488
109	60	487
110	60	487
111	61	486
112	61	485
113	62	484
114	62	483
115	63	483
116	63	482
117	64	482
118	65	481
119	66	484
120	66	483
121	67	482
122	67	481
123	67	479
124	68	478
125	68	477
126	69	476
127	69	476
128	71	481
129	71	480
130	72	479
131	72	479
132	73	477
133	73	477
134	74	476
135	74	475
136	75	474
137	75	473
138	76	473
139	76	472
140	77	471
141	77	470
142	78	469
143	78	469
144	79	468
145	79	467
146	80	466
147	80	466
148	81	465
149	81	464
150	82	463
151	83	463
152	83	462
153	84	462
154	84	461
155	85	460
156	85	459
157	86	459
158	86	458
159	87	457
160	87	456
161	87	455
162	88	454
163	89	453
164	89	452
165	90	452
166	90	450
167	90	449
168	91	448
169	91	446
170	92	446
171	92	445
172	92	444
173	93	443
174	93	442
175	94	441
176	94	441
177	95	440
178	95	439
179	96	439
180	96	438
181	97	437
182	97	436
183	98	436
184	98	435
185	99	434
186	99	434
187	100	433
188	100	433
189	101	432
190	101	431
191	102	431
192	103	430
193	103	430
194	104	429
195	104	428
196	104	427
197	105	427
198	105	425
199	106	425
200	106	424
201	107	423
202	107	423
203	108	422
204	108	421
205	109	420
206	109	420
207	110	419
208	110	418
209	111	418
210	111	417
211	112	416
212	112	416
213	113	415
214	113	414
215	114	415
216	114	414
217	115	414
218	115	413
219	116	412
220	116	411
221	117	411
222	117	410
223	118	410
224	118	409
225	119	408
226	119	408
227	120	407
228	120	406
229	121	406
230	121	406
231	122	405
232	122	404
233	123	404
234	123	403
235	124	402
236	125	402
237	125	401
238	126	401
239	126	400
240	127	400
241	127	399
242	128	398
243	128	398
244	129	397
245	129	397
246	130	396
247	130	396
248	131	395
249	131	394
250	132	394
251	132	393
252	133	392
253	133	392
254	134	391
255	134	391
256	135	390
257	135	389
258	136	389
259	136	388
260	137	388
261	137	387
262	138	387
263	138	387
264	139	386
265	139	385
266	140	385
267	140	384
268	141	384
269	141	383
270	142	383
271	142	382
272	143	381
273	143	381
274	144	380
275	144	380
276	145	379
277	145	378
278	146	378
279	146	377
280	147	377
281	148	376
282	148	376
283	149	375
284	149	375
285	149	374
286	150	373
287	150	373
288	151	372
289	151	371
290	152	371
291	152	370
292	153	370
293	153	369
294	154	369
295	154	368
296	155	368
297	156	367
298	157	368
299	157	367
300	158	367
301	158	367
302	159	366
303	160	366
304	160	365
305	161	365
306	161	364
307	162	364
308	162	363
309	163	362
310	163	362
311	163	361
312	164	361
313	165	360
314	165	360
315	166	359
316	166	358
317	167	358
318	167	357
319	168	357
320	168	356
321	169	355
322	169	355
323	169	354
324	170	354
325	170	353
326	171	352
327	171	352
328	172	351
329	172	350
330	173	350
331	173	349
332	174	349
333	174	348
334	175	348
335	175	347
336	176	346
337	176	346
338	177	345
339	177	345
340	178	344
341	178	344
342	179	343
343	179	343
344	180	342
345	180	341
346	181	341
347	181	340
348	182	339
349	182	339
350	183	338
351	183	338
352	184	337
353	184	337
354	185	336
355	185	335
356	186	335
357	186	335
358	187	334
359	187	333
360	188	333
361	188	332
362	189	332
363	189	331
364	190	331
365	190	330
